Time,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Output Total CO2e Emissions,282.659,283.37,256.285,239.897,230.64,220.94,211.889,201.836,192.448,184.079,175.162,167.205,159.831,152.747,145.317,137.504,129.574,121.876,114.547,107.085,99.3608,91.2518,84.9268,78.6442,72.7299,67.0135,61.7943,56.6748,53.4259,50.9749,49.2483,47.5662,45.9049,44.2669
Output First Year NPV of Capital Fuel and OM Expenditures through This Year,-200000,3.49942e+07,3.40986e+09,8.89381e+09,1.55336e+10,2.3302e+10,3.18465e+10,4.05089e+10,4.88638e+10,5.64633e+10,6.32916e+10,6.91885e+10,7.40175e+10,7.77727e+10,7.99259e+10,8.06399e+10,8.02986e+10,7.88402e+10,7.63926e+10,7.26999e+10,6.78283e+10,6.1729e+10,5.45439e+10,4.65963e+10,3.7727e+10,2.77852e+10,1.71436e+10,6.0404e+09,-5.5026e+09,-1.72623e+10,-2.88807e+10,-4.03018e+10,-5.15167e+10,-6.25235e+10
